Empresa,Ticker,Setor,Subsetor
CSN ON,CSNA3,Siderurgia e Metalurgia,Siderurgia
COTEMINAS PN,CTNM4,"Tecidos, Vestuário e Calçados",Fios e Tecidos
CYRELA BRAZIL REALTY PN,CYRE3,Construção Civil,Incorporações
DIAGNOSTICOS DA AMERICA SA ON,DASA3,Serv.Méd.Hospit. Análises e Diagnósticos,Serv.Méd.Hospit. Análises e Diagnósticos
Direcional Engenharia ON NM,DIRR3,Construção Civil,Incorporações
ECORODOVIAS ON NM,ECOR3,Transporte,Exploração de Rodovias
EMBRAER ON,EMBR3,Material de Transporte,Material Aeronáutico e de Defesa
EDP ENERGIAS DO BRASIL S/A ON,ENBR3,Energia Elétrica,Energia Elétrica
ENERGISA PN,ENGI4,Energia Elétrica,Energia Elétrica
EQUATORIAL ENERGIA S.A. ON NM,EQTL3,Energia Elétrica,Energia Elétrica
ETERNIT ON,ETER3,Construção e Engenharia,Produtos para Construção
EUCATEX PN,EUCA4,Madeira e Papel,Madeira
Even ON NM,EVEN3,Construção Civil,Incorporações
EZTec ON NM,EZTC3,Construção Civil,Incorporações
FERBASA PN,FESA4,Siderurgia e Metalurgia,Siderurgia
Fer Heringer ON NM,FHER3,Químicos,Fertilizantes e Defensivos
TAURUS ARMAS PN,TASA4,Máquinas e Equipamentos,Armas e Munições
FLEURY ON NM,FLRY3,Serv.Méd.Hospit. Análises e Diagnósticos,Serv.Méd.Hospit. Análises e Diagnósticos
Metalfrio ON NM,FRIO3,Máquinas e Equipamentos,Máq. e Equip. Industriais
GAFISA ON,GFSA3,Construção Civil,Incorporações
GERDAU S.A. ON N1,GGBR3,Siderurgia e Metalurgia,Siderurgia
GERDAU S.A. PN N1,GGBR4,Siderurgia e Metalurgia,Siderurgia
METALÚRGICA GERDAU ON N1,GOAU3,Siderurgia e Metalurgia,Siderurgia
METALÚRGICA GERDAU PN N1,GOAU4,Siderurgia e Metalurgia,Siderurgia
GOL LINHAS AEREAS INTELIGENTES SA PN,GOLL4,Transporte,Transporte Aéreo
GRENDENE SA ON,GRND3,"Tecidos, Vestuário e Calçados",Calçados
Generalshopp ON NM,GSHP3,Exploração de Imóveis,Exploração de Imóveis
Helbor ON,HBOR3,Construção Civil,Incorporações
PETRORIO ON,PRIO3,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição"
IMC S/A ON NM,MEAL3,Hoteis e Restaurantes,Restaurante e Similares
INEPAR S/A ON,INEP3,Máquinas e Equipamentos,Máq. e Equip. Industriais
INEPAR S/A PN,INEP4,Máquinas e Equipamentos,Máq. e Equip. Industriais
ITAÚSA ON N1,ITSA3,Intermediários Financeiros,Bancos
ITAÚSA PN N1,ITSA4,Intermediários Financeiros,Bancos
ITAUUNIBANCO ON N1,ITUB3,Intermediários Financeiros,Bancos
ITAUUNIBANCO PN N1,ITUB4,Intermediários Financeiros,Bancos
JBS ON NM,JBSS3,Alimentos Processados,Carnes e Derivados
JOÃO FORTES ENGENHARIA S.A. ON,JFEN3,Construção Civil,Incorporações
JHSF Part ON NM,JHSF3,Construção Civil,Incorporações
KEPLER WEBER SA ON,KEPL3,Máquinas e Equipamentos,Máq. e Equip. Industriais
KLABIN PN N2,KLBN4,Madeira e Papel,Papel e Celulose
MAHLE METAL LEVE ON,LEVE3,Automóveis e Motocicletas,Automóveis e Motocicletas
LIGHT SA ON,LIGT3,Energia Elétrica,Energia Elétrica
Log-In ON NM,LOGN3,Transporte,Transporte Hidroviário
LOPES BRASIL ON NM,LPSB3,Exploração de Imóveis,Intermediação Imobiliária
RENNER ON,LREN3,Comércio,"Tecidos, Vestuário e Calçados"
LUPATECH ON NM,LUPA3,"Petróleo, Gás e Biocombustíveis",Equipamentos e Serviços
M.DIASBRANCO ON NM,MDIA3,Alimentos Processados,Alimentos Diversos
MANGELS PN N1,MGEL4,Siderurgia e Metalurgia,Artefatos de Ferro e Aço
MAGAZ LUIZA ON NM,MGLU3,Comércio,Eletrodomésticos
MILLS ON NM,MILS3,Diversos,Aluguel de carros
MMX MINER ON NM,MMXM3,Mineração,Minerais Metálicos
ENEVA ON,ENEV3,Energia Elétrica,Energia Elétrica
Marfrig ON NM,MRFG3,Alimentos Processados,Carnes e Derivados
MRV ON NM,MRVE3,Construção Civil,Incorporações
IGUAÇU PN,MTIG4,Embalagens,Embalagens
Multiplan ON N2,MULT3,Exploração de Imóveis,Exploração de Imóveis
IOCHPE-MAXION ON,MYPK3,Automóveis e Motocicletas,Automóveis e Motocicletas
NATURA COSMETICOS SA ON,NATU3,,
ODONTOPREV ON NM,ODPV3,Serv.Méd.Hospit. Análises e Diagnósticos,Serv.Méd.Hospit. Análises e Diagnósticos
OSX BRASIL ON NM,OSXB3,"Petróleo, Gás e Biocombustíveis",Equipamentos e Serviços
PDG REALT ON NM,PDGR3,Construção Civil,Incorporações
PETROBRAS ON,PETR3,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição"
PETROBRAS PN,PETR4,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição"
PROFARMA ON NM,PFRM3,Comércio e Distribuição,Medicamentos e Outros Produtos
Pine PN,PINE4,Intermediários Financeiros,Bancos
PLASCAR PARTICIPAÇÕES INDUSTRIAIS S.A ON,PLAS3,Automóveis e Motocicletas,Automóveis e Motocicletas
PARANAPANEMA S.A. ON,PMAM3,Siderurgia e Metalurgia,Artefatos de Cobre
MARCOPOLO ON,POMO3,Material de Transporte,Material Rodoviário
MARCOPOLO PN N2,POMO4,Material de Transporte,Material Rodoviário
POSITIVO INF ON NM,POSI3,Computadores e Equipamentos,Computadores e Equipamentos
PORTO SEGURO SA ON,PSSA3,Previdência e Seguros,Seguradoras
PETTENATI PN,PTNT4,"Tecidos, Vestuário e Calçados",Fios e Tecidos
ENAUTA PART ON,ENAT3,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição"
QUALICORP ON NM,QUAL3,Serv.Méd.Hospit. Análises e Diagnósticos,Serv.Méd.Hospit. Análises e Diagnósticos
RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES ON N1,RAPT3,Material de Transporte,Material Rodoviário
RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES PN N1,RAPT4,Material de Transporte,Material Rodoviário
LOCALIZA RENT A CAR ON,RENT3,Diversos,Aluguel de carros
POMIFRUTAS ON NM,FRTA3,Agropecuária,Agricultura
RENOVA UNT N2,RNEW11,Energia Elétrica,Energia Elétrica
ROMI ON,ROMI3,Máquinas e Equipamentos,Máq. e Equip. Industriais
ROSSI RESIDENCIAL ON N1,RSID3,Construção Civil,Incorporações
SANTANDER UNT,SANB11,Intermediários Financeiros,Bancos
SABESP ON NM,SBSP3,Água e Saneamento,Água e Saneamento
SÃO CARLOS EMPREEND.E PARTICIPAÇÕES S.A. ON,SCAR3,Exploração de Imóveis,Exploração de Imóveis
Springs ON NM,SGPS3,"Tecidos, Vestuário e Calçados",Fios e Tecidos
TIME FOR FUN ON NM,SHOW3,Viagens e Lazer,Produção de Eventos e Shows
SLC Agricola ON NM,SLCE3,Agropecuária,Agricultura
EDITORA SARAIVA PN,SLED4,Comércio,Produtos Diversos
SAO MARTINHO ON NM,SMTO3,Alimentos Processados,Açucar e Alcool
Sul America UNT N2,SULA11,Previdência e Seguros,Seguradoras
ENGIE BRASIL ON,EGIE3,Energia Elétrica,Energia Elétrica
TECNISA ON NM,TCSA3,Construção Civil,Incorporações
TECHNOS ON NM,TECN3,"Tecidos, Vestuário e Calçados",Acessórios
Tegma ON NM,TGMA3,Transporte,Transporte Rodoviário
TIM PARTICIPAÇÕES S.A. ON,TIMP3,Telecomunicações,Telecomunicações
TOTVS ON NM,TOTS3,Programas e Serviços,Programas e Serviços
TRIUNFO PARTICIPACOES SA ON NM,TPIS3,Transporte,Exploração de Rodovias
Trisul ON NM,TRIS3,Construção Civil,Incorporações
TRANSMISSÃO PAULISTA PN N1,TRPL4,Energia Elétrica,Energia Elétrica
ULTRAPAR PARTICIPAÇÕES SA ON,UGPA3,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição"
UNIPAR PARTICIPAÇÕES S.A. ON,UNIP3,Químicos,Químicos Diversos
UNIPAR PARTICIPAÇÕES S.A. PNB,UNIP6,Químicos,Químicos Diversos
USIMINAS ON N1,USIM3,Siderurgia e Metalurgia,Siderurgia
USIMINAS PNA N1,USIM5,Siderurgia e Metalurgia,Siderurgia
TERRA SANTA ON NM,TESA3,Agropecuária,Agricultura
VALE ON NM,VALE3,Mineração,Minerais Metálicos
VIVER ON NM,VIVR3,Construção Civil,Incorporações
TELEF BRASIL ON,VIVT3,Telecomunicações,Telecomunicações
VALID ON NM,VLID3,Serviços Diversos,Serviços Diversos
WEG SA ON N1,WEGE3,Máquinas e Equipamentos,"Motores, Compressores e Outros"
BANRISUL S/A PNA,BRSR5,Intermediários Financeiros,Bancos
SANTANDER PN,SANB4,Intermediários Financeiros,Bancos
SBPAR ON NM,STBP3,Transporte,Serviços de Apoio e Armazenagem
GRAZZIOTIN ON,CGRA3,Comércio,"Tecidos, Vestuário e Calçados"
CELESC PN N2,CLSC4,Energia Elétrica,Energia Elétrica
TAURUS ARMAS ON,TASA3,Máquinas e Equipamentos,Armas e Munições
COGNA ON,COGN3,Diversos,Serviços Educacionais
RAIADROGASIL ON,RADL3,Comércio e Distribuição,Medicamentos e Outros Produtos
UNICASA ON NM,UCAS3,Utilidades Domésticas,Móveis
ALUPAR UNT N2,ALUP11,Energia Elétrica,Energia Elétrica
ANIMA ON NM,ANIM3,Diversos,Serviços Educacionais
BBSEGURIDADE ON NM,BBSE3,Previdência e Seguros,Seguradoras
CVC BRASIL ON NM,CVCB3,Viagens e Lazer,Viagens e Turismo
SER EDUCA ON NM,SEER3,Diversos,Serviços Educacionais
TUPY ON,TUPY3,Material de Transporte,Material Rodoviário
BIOMM SA ON,BIOM3,Medicamentos e Outros Produtos,Medicamentos e Outros Produtos
KLABIN UNT N2,KLBN11,Madeira e Papel,Papel e Celulose
NUTRIPLANT ON,NUTR3,Químicos,Fertilizantes e Defensivos
BANCO DA AMAZONIA S.A. ON,BAZA3,Intermediários Financeiros,Bancos
TECNOSOLO S/A ON,TCNO3,Construção e Engenharia,Engenharia Consultiva
SANTANDER ON,SANB3,Intermediários Financeiros,Bancos
FRAS-LE S.A. ON,FRAS3,Material de Transporte,Material Rodoviário
OUROFINO S/A ON NM,OFSA3,Medicamentos e Outros Produtos,Medicamentos e Outros Produtos
GUARARAPES CONFECÇÕES ON,GUAR3,Comércio,"Tecidos, Vestuário e Calçados"
TELEBRAS PN,TELB4,Telecomunicações,Telecomunicações
WHIRLPOOL S.A. ON,WHRL3,Utilidades Domésticas,Eletrodomésticos
SCHULZ PN,SHUL4,Máquinas e Equipamentos,"Motores, Compressores e Outros"
ATOMPAR ON,ATOM3,Outros,Outros
SANEPAR PN,SAPR4,Água e Saneamento,Água e Saneamento
ALFA FINANCEIRA PN,CRIV4,Intermediários Financeiros,Soc. Crédito e Financiamento
REFINARIA DE PETRÓLEOS DE MANGUINHOS S.A ON,RPMG3,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição"
BANRISUL S/A ON,BRSR3,Intermediários Financeiros,Bancos
ENERGISA UNT N2,ENGI11,Energia Elétrica,Energia Elétrica
SANSUY S.A. INDÚSTRIA DE PLÁSTICOS PNA,SNSY5,Materiais Diversos,Materiais Diversos
AZEVEDO & TRAVASSOS PN,AZEV4,Construção e Engenharia,Construção Pesada
BAHEMA ON,BAHI3,Diversos,Serviços Educacionais
BAUMER PN,BALM4,Equipamentos,Equipamentos
EXCELSIOR PN,BAUH4,Alimentos Processados,Carnes e Derivados
BAEDELLA PN,BDLL4,Máquinas e Equipamentos,Máq. e Equip. Industriais
BANESTES S/A ON,BEES3,Intermediários Financeiros,Bancos
BANESTES S/A PN,BEES4,Intermediários Financeiros,Bancos
BANESE PN,BGIP4,Intermediários Financeiros,Bancos
BANCO MERCANTIL DO BRASIL S/A PN,BMEB4,Intermediários Financeiros,Bancos
BANCO MERCANTIL DE INVESTIMENTOS SA ON,BMIN3,Intermediários Financeiros,Bancos
BANCO MERCANTIL DE INVESTIMENTOS SA PN,BMIN4,Intermediários Financeiros,Bancos
MONARK ON,BMKS3,Viagens e Lazer,Bicicletas
BOMBRIL SA PN,BOBR4,Produtos de Uso Pessoal e de Limpeza,Produtos de Limpeza
ALFA DE INVESTIMENTO ON,BRIV3,Intermediários Financeiros,Bancos
ALFA DE INVESTIMENTO PN,BRIV4,Intermediários Financeiros,Bancos
BRB ON,BSLI4,Intermediários Financeiros,Bancos
AMPLA ENERG ON,CBEE3,Energia Elétrica,Energia Elétrica
COELBA ON,CEEB3,Energia Elétrica,Energia Elétrica
COELBA PNA,CEEB5,Energia Elétrica,Energia Elétrica
CELPE PNA,CEPE5,Energia Elétrica,Energia Elétrica
COMPANHIA DE GÁS DE SÃO PAULO - COMGÁS ON,CGAS3,Gás,Gás
ALFA FINANCEIRA ON,CRIV3,Intermediários Financeiros,Soc. Crédito e Financiamento
COSERN ON,CSRN3,Energia Elétrica,Energia Elétrica
KARSTEN PN,CTKA4,"Tecidos, Vestuário e Calçados",Fios e Tecidos
COTEMINAS ON,CTNM3,"Tecidos, Vestuário e Calçados",Fios e Tecidos
SANTANENSE ON,CTSA3,"Tecidos, Vestuário e Calçados",Fios e Tecidos
